,id,time,days,mood,circumplex.arousal,circumplex.valence,activity,screen,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,n_days_id,target_mood_plus1,target_mood_plus2,day_shift,day_diff,time_elapsed,month,day,season
0,AS14.01,2014-02-26,9,6,-0.25,0.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.333333333333333,6.2,10.0,1.0,0 days,2,26,winter
1,AS14.01,2014-03-21,32,6,0.2,0.2,3.0831523917559385,9100.601001024246,0.0,1255.6529999999989,5903.482000000004,1007.456,49.544000000000004,0.0,172.20600000000002,139.19500000000002,3945.8129999999996,915.4450000000002,0.0,598.7539999999999,0.0,2,6.4,6.8,33.0,1.0,23 days,3,21,spring
2,AS14.01,2014-03-22,33,6,0.6,0.4,3.79008350783933,6142.160999536514,1.0,480.1240000000001,4962.9180000000015,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0,3,6.8,6.0,34.0,1.0,24 days,3,22,spring
3,AS14.01,2014-03-23,34,6,0.2,0.8,2.141116737075955,6033.096001625059,0.0,615.3240000000002,4495.048999999998,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,4,6.0,6.75,35.0,1.0,25 days,3,23,spring
4,AS14.01,2014-03-24,35,6,0.8,0.0,1.8950653467743512,10422.503001213072,0.0,816.9529999999996,6809.574999999999,417.65099999999995,34.106,0.0,3.01,66.55799999999999,2644.4389999999994,54.70099999999999,0.0,178.732,0.0,5,6.75,6.6,36.0,1.0,26 days,3,24,spring
5,AS14.01,2014-03-25,36,6,0.5,0.5,2.360978697372162,8495.263999700544,1.0,615.507,6961.149999999999,68.206,43.053999999999995,0.0,0.0,89.91,1919.4709999999998,0.0,235.223,222.89299999999997,0.0,6,6.6,7.0,37.0,1.0,27 days,3,25,spring
6,AS14.01,2014-03-26,37,6,-0.2,0.6,2.4313997200818225,8603.335000991821,0.0,714.1969999999997,7811.564000000001,910.479,52.331,0.0,0.0,97.49799999999999,2430.394,0.0,0.0,33.365,0.0,7,7.0,6.4,38.0,1.0,28 days,3,26,spring
7,AS14.01,2014-03-27,38,7,0.2,0.8,3.509234101320145,6847.483999967572,1.0,905.2549999999998,5227.808000000002,639.3389999999999,42.218999999999994,0.0,182.451,58.532000000000004,935.381,47.314,0.0,179.02899999999997,0.0,8,6.4,8.0,39.0,1.0,29 days,3,27,spring
8,AS14.01,2014-03-28,39,6,-0.6,0.6,2.2967525192908838,4026.495999813081,0.0,757.3679999999996,866.833,1005.403,89.16600000000001,233.036,0.0,133.846,512.741,799.2130000000003,0.0,301.717,0.0,9,8.0,7.5,40.0,1.0,30 days,3,28,spring
9,AS14.01,2014-03-29,40,8,0.2,1.0,1.6368674424448715,4047.5310006141654,1.0,461.2699999999999,2720.692,1627.429,0.0,0.0,0.0,95.11900000000001,472.88800000000003,52.435,0.0,600.6370000000001,0.0,10,7.5,7.4,41.0,1.0,31 days,3,29,spring
10,AS14.01,2014-03-30,41,7,-0.5,0.75,0.6873015873015881,1669.2050011157996,0.0,323.89,830.8080000000001,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,11,7.4,6.0,42.0,1.0,32 days,3,30,spring
11,AS14.01,2014-03-31,42,7,0.0,0.6,1.6921315412013493,6559.181000709534,0.0,966.933,5332.637,1758.9199999999998,41.255,51.176,0.0,212.11399999999998,1350.6549999999997,183.381,29.29,210.305,0.0,12,6.0,6.5,43.0,1.0,33 days,3,31,spring
12,AS14.01,2014-04-01,43,6,0.2,0.0,2.8426378251056637,10054.849002599714,0.0,1173.1240000000007,5732.129000000001,1030.637,361.983,234.741,92.388,121.19000000000001,4264.122000000003,1614.621,0.0,517.636,0.0,13,6.5,6.4,44.0,1.0,34 days,4,1,spring
13,AS14.01,2014-04-02,44,6,0.25,0.75,2.445998655317363,12824.082000732422,0.0,1197.6309999999999,6920.155999999999,1343.376,172.447,0.0,90.481,273.18600000000004,2918.212,0.0,0.0,341.371,0.0,14,6.4,6.2,45.0,1.0,35 days,4,2,spring
14,AS14.01,2014-04-03,45,6,-1.2,0.0,1.181723345002586,12888.668001413345,0.0,1294.3460000000002,14055.915999999997,1293.631,76.234,0.0,0.0,152.34100000000004,2607.5650000000005,19.082,0.0,182.77200000000002,0.0,15,6.2,6.8,46.0,1.0,36 days,4,3,spring
15,AS14.01,2014-04-04,46,6,0.2,0.4,3.0405434689758195,5270.476000547411,1.0,994.1049999999996,4991.470999999999,1545.227,0.0,0.0,0.0,119.36399999999999,2086.197,158.24099999999999,0.0,128.692,0.0,16,6.8,6.5,47.0,1.0,37 days,4,4,spring
16,AS14.01,2014-04-05,47,6,-0.4,0.6,2.856055252882692,2317.686000108719,0.0,480.32799999999986,1885.4089999999999,76.369,0.0,0.0,0.0,81.133,363.208,187.94500000000002,0.0,118.956,0.0,17,6.5,6.5,48.0,1.0,38 days,4,5,spring
17,AS14.01,2014-04-06,48,6,-0.75,0.5,1.545787186619235,4589.975000143052,0.0,618.6569999999996,2617.3140000000003,187.214,0.0,114.406,0.0,119.12,321.46,0.0,0.0,46.249,0.0,18,6.5,6.6,49.0,1.0,39 days,4,6,spring
18,AS14.01,2014-04-07,49,6,-0.625,0.25,1.2160949081836292,6522.225000143054,0.0,824.197,6326.024000000001,447.12100000000004,46.128,0.0,17.107,170.34799999999998,1475.418,60.247,0.0,205.81100000000004,0.0,19,6.6,7.4,50.0,1.0,40 days,4,7,spring
19,AS14.01,2014-04-08,50,6,-0.4,0.2,1.8078493982723634,10790.685002565384,0.0,823.7589999999997,6933.493999999997,1520.739,19.131,0.0,0.0,59.440000000000005,2190.0330000000004,0.0,0.0,36.143,0.0,20,7.4,7.4,51.0,1.0,41 days,4,8,spring
